NEE,NEV,Count
Bristol,Brixton,1
Bristol,Luân Đôn đến Exetơ,1
Bristol,nước Anh,1
Bristol Hospice,Nhà tế bần Bristol,1
Britain,"98,6 độ Fahrenheit",1
Britain,Anh,52
Britain,Anh quốc,1
Britain,Anh với châu Âu,1
Britain,Birmingham,1
Britain,Canada,1
Britain,Fahrenheit,1
Britain,Hoa Kỳ,1
Britain,Hội,1
Britain,Ireland,2
Britain,Jean Kennedy Smith,1
Britain,Kennedy,1
Britain,La Mã,2
Britain,Liên hiệp Anh,1
Britain,Luân Đôn,1
Britain,Mo Mowlam,1
Britain,Mĩ,1
Britain,Mỹ,3
Britain,Nhật,3
Britain,Niu Zilân,1
Britain,Nước Anh,1
Britain,Pháp,3
Britain,Quốc,1
Britain,Raymond Seitz,1
Britain,Stratford,1
Britain,Trung Quốc,1
Britain,châu Phi,1
Britain,châu Âu,3
Britain,nước Anh,15
Britain,Ôxtralia,1
Britain,Úc,3
Britain,Đội Anh,1
Britain,Đức,3
Britain,đông Phi,1
British,Anh,4
British,Blair,1
British,Edward Kennedy,1
British,Hội đồng Bảo an,1
British,Ngài Thủ Tướng Anh,1
British,Saddam Hussein,1
British,Sinn Fein Gerry Adams,1
British,đường Downing,1
British Columbia,British Columbia,1
British Columbia,Dick Wilson,1
British Columbia,Vancouver,1
Broadway,Broadway,1
Broncos,Broncos,1
Broncos,Chiefs,1
Brooklyn Bridge,New York,1
Brooklyn Bridge,cầu Brooklyn,1
Brown,Brown,10
Brown,Brown đứng ngoài đội tuyển Anh,1
Brown,Con Trai,1
Brown,Công ty Brown,1
Brown,Hân,1
Brown,Johnson,1
Brown,Karla Faye,1
Brown,Smith,1
Brown,Thiên,1
Brown,Watkins,1
Brown,Williamson,1
Brown,nhà Bà Brown,1
Brown,nhà hàng Đông Lai Thuận,1
Browns,Brown,1
Bruce Springsteen,Bruce Springsteen,1
Bruce Springsteen,Michael Jackson,1
Bruges,Bruges,1
Bruins,Bruins,1
Bruins,Miles Simon,1
Bruins,Wildcats,1
Brunei,Belait,1
Brunei,Brunei,1
Brunei,Tutong,1
Brunei,Vương quốc Brunei,1
Brunei,thành 4 quận chính : Brunei-Muara,1
Brunei Darussalam,Brunei Darussalam,1
Brussels,15 nước EU,1
Brussels,Brussels,2
Brussels,Công ước Brussels,1
Brussels,Ngân hàng thế giới,1
Brussels,Việt Nam,1
Brutus,Brutus,1
Brutus,Julius Caesar,1
Brutus,Tom Hill,1
Budapest,nước Hung,1
Buddha,Đức Phật,1
Buddhist,Hindu,1
Bui Ba Bong,Bùi Bá Bông,1
Bui Viet Hoa,Bùi Việt Hoa,1
Bulgaria,Bulgari,1
Bulgaria,Nguyễn Thị Ngọc Trâm,1
Bulls,Bulls,1
Bulls,Michael Jordan,1
Bulls,Đội Bulls thắng đội Lakers,1
Burd,Burd,1
Burlington,Burlington,1
Burlington,Canada,1
Burlington,New York,1
Burlington,Vermont,1
Burlington,Watertown,1
Burma,Afghanistan,1
Burma,Cuba,1
Burma,Hội,1
Burma,Iran,1
Burma,Miến Điện,2
Burma,Myanmar,1
Burma,Stubb,1
Burma,Sudan,1
Burma,Thổ Nhĩ Kỳ,1
Burt Gendron,Burt Gendron,1
Burundi,Burundi,1
Burundi,Trung Quốc,1
Bush,Bush,3
Bush,Mỹ,1
Bush,Todd Buchholz,1
Bush,nước Mỹ,1
Business Administration University,Đại học Quản trị Kinh,1
Butler,Baghdad,1
Butler,Butler,3
Butler,Iraq,3
Butler,Mỹ,1
Butler,Saddam Hussein,1
CBS News,CBS News,1
CBS News,Hillary Clinton,1
CBSA,Trung Quốc,1
CIA,CIA,1
CIA,CIA ước tính Iran,1
CIA,Hamas,1
CIA,Hezbollah,1
CIA,Israel,1
CIA,Mir Aimal Kasi,1
CNN,Angela Astore,1
CNN,Atlanta,1
CNN,British Columbia,1
CNN,CNN,3
CNN,Dick Wilson,1
CNN,Mary Ann McGann,1
CNN,Myron Kandel,1
CNN,Mỹ,1
CNN,New York,2
CNN,Orelon Sidney,2
CNN,Rhonda Rowland,1
CNN,Rusty Dornin,1
CNN,San Francisco,1
CNN,Trang,1
CNN,Vancouver,1
Cadillac,London,1
Cadillac,Vernon Jordan,1
Caesar,Caesar,1
Caesar,La Mã,1
Caesar,Shakespeare,1
Caesar,châu á,1
Cairo,Cairo,5
Cairo,Luxor,1
Cairo,thủ đô Ai Cập,1
Calais,Calais,2
Calais,Dover,1
Calais,cảng Dover,1
Calais,đường Dover,1
Calcutta,Calcutta,1
Calgary,Calgary,1
Calgary,Ottawa,1
Calgary,Philadelphia,1
California,ABC,1
California,ABC News,1
California,Alan,1
California,Arizona,2
California,Bono,1
California,California,22
California,Connecticut,1
California,El Nino,1
California,Geron,1
California,Harmen Carden,1
California,Jane Clayson,1
California,Khalsa,1
California,Michele Norris,1
California,Mitsubishi,1
California,Palm Springs,1
California,Panetta,1
California,Reno,1
California,Riverside,1
California,SBC,1
California,Sacramento,1
California,Sonny Bono,3
California,Texas,1
California,Theodore Kaczynski,1
California,Tiểu bang California,1
California,Toyota,1
California,Unabomber,1
California,Ventura,1
California,bang Miền Nam New England,1
California,biển California,2
California,sao California,1
California,trung tâm California,1
California,Đại học Texas,1
California Supreme Court,Tối cao California,1
Callas,Callas,1
Camaguey,Camaguey,1
Camaguey,Cuba,1
Camaguey,Đức Giáo Hoàng,1
Cambodia,Campuchia,3
Cambodia,sông Sê San,1
Cambodia,thủ đô Phnôm Pênh,1
Cambridge,Cambridge,7
Cambridge,Oxford,2
Cambridge,trường đại học Oxford,1
Cambridge,Đại học Cambridge,1
Cambridge,đại học Cambridge,1
Cambridge First Certificate,trường Cambridge,1
Camden,Camden,1
Cameroon,Kensuke Tsuzuki,1
Cameroon,Nhật Bản đến Cameroon,1
Canada,ABC,1
Canada,ABC News,1
Canada,Anh,1
Canada,Burlington,1
Canada,Canada,41
Canada,Canađa,1
Canada,Drescher,1
Canada,El Nino,1
Canada,Green,1
Canada,Hoa Kỳ,1
Canada,John Willemson,1
Canada,Montreal,1
Canada,Mort Dean,1
Canada,New York,1
Canada,Niu Zilân,1
Canada,Pháp,1
Canada,Quebec,1
Canada,Roy Thomson,1
Canada,Smith,1
Canada,Toronto,1
Canada,Trung Quốc,1
Canada,Uganda Châu Á,1
Canada,Vermont,1
Canada,Vịnh Mexico,1
Canada,Watertown,1
Canada,Wilson,1
Canada,bến cảng Vancouver,1
Canada,Ôxtralia,1
Canada,Đức,1
Canary Islands,Palos,1
Canary Islands,quần đảo Canary,1
Cancun,Cancun,1
Cannes,Cannes,1
Canterbury,Canterbury,1
Canterbury,Tổng giám mục Canterbury,1
Cao Bang province,xã Đức Hồng huyện Khánh Trung tỉnh Cao Bằng,1
Cao Chi,Cao Chi,1
Cape Canaveral,Cape Canaveral,1
Capitol Hill,ABC,1
Capitol Hill,Bộ trưởng Quốc phòng và Chủ tịch Cục Dự trữ Liên,1
Capitol Hill,Capitol Hill,5
Capitol Hill,Clinton,1
Capitol Hill,Cokie Roberts,4
Capitol Hill,Mỹ,1
Capitol Hill,Sam Donaldson,1
Capitol Hill,châu Á,1
Cardiff,Cardiff,1
Cardiff,Luân Đôn,1
Cargill,Maysville,1
Cargill,Sông Ohio,1
Cargill,công ty Cargill,1
Carl Smith,Carl Smith,1
Carlos Giordano,California,1
Carlos Giordano,Carlos Giordano,1
Carmine Goose,Quảng Đông,1
Carmine Goose,Thanh Viễn,1
Carnegie Hall,New York,1
Carnegie Hall,hội trường Carnegie,1
Carolina,Carolina,1
Carolina,Dallas,1
Carson,Carson,1
Caruso,Charles Caruso,1
Caruso,New York,1
Casey Martin,Casey Martin,5
Casey Martin,Florida,1
Casey Martin,Lakeland,1
Cassandra Postlethwaite,Cassandra Postlethwaite,1
Castro,Antonio,4
Castro,Ba Lan,1
Castro,Castro,6
Castro,Clinton,1
Castro,Cuba,4
Castro,Cuba rằng Castro,1
Castro,Mỹ,1
Castro,Tổng thống Castro,1
Castro,Đức Giáo Hoàng,4
Caterpillar,Caterpillar,1
Cathay,Cathay,1
Cathay Life,Cathay,1
Catherine,Anh,1
Catherine,Audrey Flack,1
Catherine,Betty Dopson,1
Catherine,Braganza,3
Catherine,Catherine,5
Catherine,Hoa Kỳ,1
Catherine,Hunters Point,1
Catherine,Liên Hiệp Quốc,1
Catherine,Nữ hoàng Catherine,2
Catherine,Queens,1
Catherine,Sông Đông,1
Catherine Doar,Catherine Doar,1
Catholic,Bắc Ireland,1
Catholic,Công giáo Ireland,1
Catholic,Linh,1
Catholic,nước Mỹ,1
Catholic Church,Cuba,1
Catholic Church,Giáo Hội Công Giáo,1
Catholic Church,Giáo hội Thiên Chúa,1
Catholic Church,Mỹ,1
Caxton,Caxton,1
Caxton,Gutenberg,1
Caxton,Schoeffer,1
Central Africa,Sa mạc Sahara,1
Central Africa,châu Phi,1
Central America,Trung Mỹ,1
Central Chamber,Phòng Thương Mại Phần Lan bao gồm Phòng Trung Ương,1
Central District of California,California,1
Central District of California,Carlos Giordano,1
Central Highland,Bắc Tây Nguyên,1
Central Highland,Tổ quốc,1
Central Vietnam,Bình Thuận,1
Central Vietnam,nước Việt Nam,1
Centrelink,Centrelink,1
Ceylon,Ceylon,1
Chamber of Commerce,Phòng Thương Mại Phần Lan bao gồm Phòng Trung Ương,1
Chancellorsville,Chancellorsville,1
Changping,Changping,1
Changping,Mentougou,1
Changping,Yanqing,1
Charler Darwin,Anh,1
Charler Darwin,Charler Darwin,1
Charles,Anh,2
Charles,Braganza,1
Charles,Catherine,1
Charles Dickens,Charles Dickens,1
Charles Epstein,Charles Epstein,1
Charles Epstein,David Gelertner,1
Charles Epstein,Kaczynski,1
Charlie Chaplin,Charlie Chaplin,1
Charlie Trie,ABC,1
Charlie Trie,Charlie Trie,1
Charlie Trie,Linda Douglass,1
Charlie Trie,Little Rock,1
Chaucer,Chaucer,1
Chaudhuri,Chaudhuri,1
Chaudhuri,Indonesia,1
Chaudhuri,Ngân,1
Che Guevara,Chúa Giêsu,1
Che Guevara,Cuba Che Guevara,1
Che Lan Vien,Chế Lan Viên,1
Che Lan Vien,Hạ Long,1
Chelsea,Chelsea,2
Chelsea,đội Leeds,1
Chen,ABC,1
Chen,Trần,1
Cher,Cher,1
Chester,Chester,1
Chester,thành phố Chester,1
Chester,Đức Giám,1
Chevrolet Captiva,Chevrolet Captiva,1
Cheyenne,Cheyenne,1
Cheyenne,Crow,1
Chhibber,Chhibber,1
Chicago,Anaheim,1
Chicago,Bill Gared,1
Chicago,Brian Muir,1
Chicago,Brown,1
Chicago,Chicago,7
Chicago,Edmonton,1
Chicago,Edmonton Jason Arnott,1
Chicago,Florida,1
Chicago,Los Angeles,1
Chicago,Miami,1
Chicago,New Jersey,2
Chicago,New York,2
Chicago,New York lẫn Chicago,1
Chicago,Seed,1
Chicago,Valarie Zelaputon,1
Chicago,tiểu bang ;,1
Chicago Merchandise Mart,Chicago Merchandise Mart,1
Chicago Merchandise Mart,Kennedy,1
Chihuahua,Skye,1
Chile,Chi Lê,1
China,Anh,1
China,Bill Brown,1
China,Burundi,1
China,Bắc Kinh,1
China,Canada,1
China,Hà,1
China,Hàn Quốc,1
China,Hồng Kong,1
China,Hồng Kông,1
China,Liên hiệp Quốc,1
China,Lý,1
China,Montreal,1
China,Mạnh Khương,1
China,Mỹ,1
China,Ngân Hàng,1
China,Ngân hàng Trung Quốc,1
China,Nhật,2
China,Trung,1
China,Trung Quốc,88
China,Trung Quốc thành lập công ty cảng hàng hóa,1
China,Vương Quốc Anh,1
China,châu Âu,1
China,ngân hàng Hoàng Gia Canada,1
China,ngân hàng Trung Quốc,1
China,nhânDân Trung Quốc là ngân hàng trung ương Trung Quốc,1
China,nước Trung Hoa,1
China,tòa đại sứ Trung Quốc hay Tổng lãnh sự quán Trung Quốc,1
China,Ấn Độ,1
China Airlines,Hãng Hành không Trung Quốc,1
China International Trust and Investment Corporation,Ủy thác Quốc tế Trung Quốc,1
China Investment Bank,Trung Quốc,1
Chinatown,khu Hoa Kiều,1
Chinese,Lý Trường Thành,1
Chinese,Trung Quốc,3
Chinese Embassy,tòa đại sứ Trung Quốc hay Tổng lãnh sự quán Trung Quốc,1
Chong Qing South Road,Đài Bắc,1
Chong Qing South Road,đường Tam Trùng Khánh,1
Chongwen District,khu Sùng Văn,1
Chongwen District,khu vựa phía Nam Bắc Kinh,1
Chopin,Chopin,1
Chris Wallace,ABC,1
Chris Wallace,Chris Wallace,1
Christa McAuliffe,Christa McAuliffe,1
Christain Church,Cơ Đốc,1
Christain Church,Thời Kỳ Đen Tối,1
Christie,hãng Christie,1
Christina,Christina,1
Chu Cong,Mạnh Tử,1
Chuck Robb,Virginia Chuck Robb,1
Churchill,Churchill,2
Cicero,Cicero,1
Cindy,Cindy,1
Citibank,ngân hàng Citibank,1
Civil Service,Dân Chính,1
Clark,Trường Trung học Clark,1
Clark College,Clark,1
Clark College,Oregon,1
Clark College,Portland,1
Clark College,Đại học Lewis,1
Clark Gable,Clark Gable,1
Clark Gable,Vivian Leigh,1
Clark Gable,Viện Hàn Lâm,1
Clemson,Carolina,1
Clemson,Clemson,1
Clemson,Shammond Williams,1
Cleveland,ABC News,1
Cleveland,Cleveland,3
Cleveland,Michele Norris,1
Clewiston,ABC News,1
Clewiston,Clewiston,1
Clewiston,Florida,1
Clewiston,John Martin,1
Clinton,ABC News,8
Clinton,ABC News rằng Clinton,1
Clinton,ABC News rằng Lewinsky,1
Clinton,Alexis Herman,1
Clinton,Anh,1
Clinton,Bộ Tài chính đã giám sát Cơ quan Mật,1
Clinton,Bộ ngoại giao,1
Clinton,Capitol Hill,1
Clinton,Clinton,68
Clinton,Clinton Robert Bennett,2
Clinton,Cokie,1
Clinton,Cuba,2
Clinton,Davos,1
Clinton,Diễn đàn Kinh tế Thế giới,1
Clinton,Gennifer Flowers,1
Clinton,George Stephanopoulos,1
Clinton,Hoa Kỳ,1
Clinton,Hollywood,1
Clinton,House,1
Clinton,IRA,1
Clinton,Israel,1
Clinton,John Major,1
Clinton,Jones,4
Clinton,Jordan,1
Clinton,Kenneth Starr,1
Clinton,Lewinsky,10
Clinton,Linda,1
Clinton,Lisa,1
Clinton,Maine,1
Clinton,Mitterrand,1
Clinton,Monica Lewinsky,4
Clinton,Mỹ,4
Clinton,Netanyahu,2
Clinton,Nhà Trắng,13
Clinton,Nhà Trắng Monica Lewinsky,2
Clinton,Nhà Trắng sau khi Panetta,1
Clinton,Nhà Trắng đến thăm Clinton,1
Clinton,Noble,1
Clinton,Palestine,1
Clinton,Paul Begala,1
Clinton,Paula Jones,1
Clinton,Peter,2
Clinton,Pháp,1
Clinton,Richard Gephardt,1
Clinton,Robert Bennett,2
Clinton,Saddam Hussein,4
Clinton,Sam,1
Clinton,Starr,3
Clinton,Terry Giles,1
Clinton,The New York Times,1
Clinton,Thụy Sĩ,1
Clinton,Tripp,1
Clinton,Trung Đông,1
Clinton,Tổng thống Castro,1
Clinton,Tổng thống Clinton,10
Clinton,Tổng thống Mike McCurry,1
Clinton,Vernon Jordan,6
Clinton,Washington,3
Clinton,Watergate,1
Clinton,nước Mỹ,1
Clinton,Đại sứ Seitz tuyên bố chính phủ Anh,1
Clintons,Clinton,1
Clintons,Jerry Falwell,1
Clintons,Jesse Helms,1
Clintons,Kenneth Starr,1
Clintons,Lauch Faircloth,1
Clippers,Boston,1
Clippers,Clippers,1
Clippers,Houston,1
Clippers,Milwaukee,1
Clippers,Portland,1
Coburn,Coburn,1
Coburn,Ủy ban Đạo đức Nhà,1
Cohen,Bộ trưởng Quốc phòng Cohen,1
Cohen,Hội đồng Bảo an LHQ,1
Cohen,Mỹ,1
Cohen,Saddam Hussein,1
Cohen,Vịnh Ba Tư,1
Coke,Pepsi,1
Cokie,Cokie,5
Cokie,Mỹ,1
Cokie,Nhà Trắng,2
Cokie,Paul Begala,1
Cokie,Sam,3
Cokie,Tổng thống Clinton,1
Cokie Roberts,ABC,1
Cokie Roberts,Capitol Hill,4
Cokie Roberts,Cokie Roberts,4
Cokie Roberts,Sam Donaldson,1
Colin David,Colin David,1
Colin Ferguson,Colin Ferguson,1
Colin Ferguson,New York,1
Colin Kettle,Colin Kettle,1
Collin,Collin,2
Collin,Pháp,1
Colorado,Arizona,1
Colorado,Colorado,1
Colorado,New Mexico,1
Colorado,Rocky Mountain,1
Colorado River,Đại Vực,1
Columbus,Ba Lan,1
Columbus,Columbus,7
Columbus,George Washington,1
Columbus,Napoleon,1
Columbus,Nickels Koppernigk,1
Columbus,Tây Ban Nha,1
Columbus,châu Mỹ,4
Columbus,châu Âu,1
Columbus,trường Đại học Cracow,1
Commercial Bank,Ngân,1
Commercial Bank,Ngân Hàng Công Thương,1
Commercial Bank,Ngân hàng Thương,1
Commercial Bank,Thượng Hải,1
Commercial Bank of China,ngân hàng Công thương Trung Quốc,1
Committee,Ban Kiểm,2
Committee,Hội,1
Commonwealth,Anh,1
Commonwealth,Liên hiệp Anh,1
Communist Party,Cuba,1
Communist Party,Đảng Cộng,1
Communist Party,Đảng Cộng sản,1
Compaq,Compaq,2
Compaq,Intel,1
Compaq,Microsoft,1
Compostela,Santiago de Compostela,1
Con Dao,Côn Đảo,2
Con Dao,Nguyễn Bình,1
Con Dao,Pháp,2
Con Dao Island,Côn Đảo,1
Conchita Diaz,Conchita Diaz,1
Conchita Martinez,Martina Hingis,1
Conchita Martinez,Melbourne,1
Conchita Martinez,Úc,1
Confucius,Khổng Phu Tử,1
Cong Ly Road,Lê Lợi,1
Cong Ly Road,đường Công Lý,1
Congo,Cộng hòa Cônggô,1
Congress,Bộ trưởng Quốc phòng và Chủ tịch Cục Dự trữ Liên,1
Congress,Chính phủ đến Địa phương,1
Congress,Cokie,1
Congress,Medicare,1
Congress,Mỹ,2
Congress,Nghị viện Anh,1
Congress,Quốc Hội,1
Congress,Tổng thống Clinton,1
Congress,châu Á,2
Congress,Đại,1
Connecticut,ABC News,1
Connecticut,California,1
Connecticut,Connecticut,1
Connecticut,JuJu Chang,1
Connecticut,New Haven,1
Connecticut,SBC,1
Connecticut,Texas,1
Connecticut,bang Miền Nam New England,1
Connors,Becker,2
Cook,châu Úc,1
Copernicus,Ba Lan,1
Copernicus,Copernicus,3
Copernicus,trường Đại học Cracow,1
Copyright Office,Hoa Kỳ,1
Copyright Office,Thủ đô Washington,1
Copyright Office,Văn phòng Bản quyền,1
Coretta Scott King,Atlanta,1
Coretta Scott King,Coretta Scott King,1
Coretta Scott King,Phó Tổng thống Gore,1
Coretta Scott King,Trung tâm Vua nằm,1
Corfu,Corfu,1
Cornwall,Cornwall,3
Cornwall,biển Cornwall,1
Cortes,Cortes,1
Cortes,Trung Mỹ,1
Cortes,Tây Ban Nha tên Cortes,1
Cosme de la Toriente,Antonio,1
Cosme de la Toriente,Cuba,1
Cosme de la Toriente,Toriente,1
Council of the Isles,Anh,1
Council of the Isles,Bắc Ireland,2
Council of the Isles,Chính phủ Anh,1
Council of the Isles,Cộng hòa Ireland,1
Council of the Isles,Hội,1
Council of the Isles,Scotland,1
Council of the Isles,xứ Wales,1
Crewe,Crewe,2
Crewe,London,1
Croatia,Croatia,3
Croatia,Croatia Mesic,1
Croatia,Kuala Lumpur,1
Croatia,Malaysia,1
Croatia,Nguyễn Minh Triết,1
Croatia,Việt Nam,1
Crowther,Crowther,1
Cuba,ABC,1
Cuba,ABC News,2
Cuba,Afghanistan,1
Cuba,Antonio,1
Cuba,Antonio Mora,1
Cuba,Ba Lan,1
Cuba,Bill Blakemore,2
Cuba,Bộ Ngoại,2
Cuba,Camaguey,1
Cuba,Castro,1
Cuba,Cuba,30
Cuba,Cuba Ortega,1
Cuba,Cuba rằng Castro,1
Cuba,Fidel Castro,3
Cuba,Gioan Phaolô,1
Cuba,Gioan Phaolô Đệ,1
Cuba,Giáo Hội,1
Cuba,Giáo Hội Công Giáo,2
Cuba,Havana,1
Cuba,Hoa Kỳ,1
Cuba,Iran,1
Cuba,John Paul,2
Cuba,Miến Điện,1
Cuba,Mỹ,9
Cuba,Mỹ chống Cuba,1
Cuba,Peter Jennings,1
Cuba,Santa Clara,1
Cuba,Sudan,1
Cuba,Thổ Nhĩ Kỳ,1
Cuba,Toriente,1
Cuba,Washington,2
Cuba,chính phủ Mỹ,2
Cuba,Đức Giáo Hoàng,8
Cuba,Đức Giáo Hoàng Gioan Phaolô,1
Cuba,Đức Hồng Y,1
Cuba,Đức Thánh Cha,2
Cuban,Chúa Giêsu,1
Cuban,Cuba,2
Cuban,Cuba Che Guevara,1
Cuban,Gioan Phaolô,1
Cuban,Đảng Cộng sản,1
Cuc Phuong,Báo Panthera Pardus,1
Cuc Phuong,Cúc Phương,1
Cuc Phuong,rừng Cúc Phương,1
Cullinan,Cullinan,1
Curie,Curie,1
Currie,Lewinsky,1
Currie,Monica Lewinsky,1
Currie,Nhà Trắng,1
Currie,Nhà Trắng đến thăm Clinton,1
Cuyahoga River,Sông Cuyahoga,1
Cyprus,Địa Trung Hải,1
Cyril,Tặng Cyril,1
Cyrus,Ba Tư,1
Cyrus,Cyrus,1
Czech Republic,Việt Nam,1
Czechoslovakia,nước Tiệp Khắc,1
D.C,Hoa Kỳ,1
D.C,Thủ đô Washington,1
D.C,Văn phòng Bản quyền,1
DC,Washington,1
Da Bao Nhu Lai,Đa Bảo Như Lai,1
Da Lat,Phú Quốc,1
Da Lat,Vịnh Hạ Long,1
Da Lat,Đà Lạt,1
Da Vinci,Da Vinci,1
Dai Viet,Minh,1
Dai Viet,Việt,1
Dak Lak,Đăk Lăk,1
Dalat,Đà Lạt đến Nha Trang,1
Daley Thomson,Daley Thomson,1
Dalian,Đại Liên,1
Dallas,Carolina,1
Dallas,Dalas,1
Dallas,Dallas,1
Dallas Morning News,Dallas Morning News,1
Dallas Morning News,Monica Lewinsky,1
Damocles,Damocles,4
Damocles,Dionysius,1
Dan,Dan,1
Dan,Julia,1
Dan Davies,Dan Davies,1
Danang,Hà Nội,1
Danang,Đà Nẵng,2
Dang Vu Minh,Đặng Vũ Minh,1
Danida,Danida,1
Danny Garrett,Danny Garrett,1
Danny Garrett,Karla Faye Tucker,1
Danny Garrett,ban bồi thẩm Houston,1
Danube,Châu Âu,1
Danube,Danube,1
Danube,sông Đa,1
Dany,Dany,1
Dao Thi Ngat,Đào Thị Ngát,1
Darwin,Darwin,5
Darwin,Huxley,1
Darwin,Muôn Loài,1
Daryl Runswick,Daryl Runswick,1
Dave,Dave,1
Dave Melton,Dave Melton,2
Dave Melton,Dick Rutan,2
Dave Melton,New Mexico,1
David,David,13
David,Sue,1
David,Trang,1
David,Tây Ban Nha,1
David Brown,David Brown,1
David Ensor,ABC,1
David Ensor,ABC News,3
David Ensor,David Ensor,4
David Ensor,London,1
David Ensor,Washington,1
David Frost,David Frost,1
David Gelertner,Charles Epstein,1
David Gelertner,David Gelertner,1
David Gelertner,Kaczynski,1
David Levy,David Levy,1
David Levy,Israel,1
David Wolf,David Wolf,1
David Wolf,Nga,1
Davos,Clinton,1
Davos,Davos,1
Davos,Diễn đàn Kinh tế Thế giới,1
Davos,Thụy Sĩ,1
Davy Jones,Davy Jones,1
De Win,Leverkusen,1
De Win,Win,1
Dead Sea,Jordan,1
Dean,Dean,1
Dean,Torvill,1
Dean Reynolds,ABC,2
Dean Reynolds,ABC News,2
Dean Reynolds,Dean Reynolds,5
Dean Reynolds,Denver,1
Dean Reynolds,Gatesville,1
Dean Reynolds,Jeffrey Toobin,1
Dean Reynolds,Texas,1
Dean Reynolds,Thành phố Oklahoma,2
Deborah,Deborah,1
Deborah Amos,ABC,1
Deborah Amos,ABC News,2
Deborah Amos,Deborah Amos,3
Deborah Amos,New York,2
Deep Throat,Bưu điện Washington,1
Deep Throat,Deep Throat,1
Deep Throat,Tổng thống Nixon,1
Deep Throat,Watergate,1
Defense,Bộ trưởng Quốc phòng Cohen,1
Defense,Bộ trưởng Quốc phòng William Cohen,1
Defense,Bộ trưởng Quốc phòng và Chủ tịch Cục Dự trữ Liên,1
Defense,Hội đồng Bảo an LHQ,1
Defense,Iraq,1
Defense,Lầu Năm Góc,1
Defense,Mỹ,1
Defense,Vịnh Ba Tư,1
Defense,châu Á,1
Degas,Degas,1
Delhi,Delhi,3
Democratic Republic of the Congo,Côngô,1
Democratic party,Đảng Dân,1
Deng Nan,Deng Nan,1
Deng Rong,Deng Rong,3
Deng Xiaoping,Deng Xiaoping,1
Denise,Chính Denise,1
Denise,Denise,2
Denise,Martin,2
Denmark,Uỷ hội sông Mê Kông,1
Denmark,Việt Nam,2
Denmark,nước Anh,1
Denmark,Đan Mạch,4
Denny,Denny,1
Denny MacLaine,Denny MacLaine,1
Denver,ABC,1
Denver,ABC News,2
Denver,Bob Jamieson,1
Denver,Chiefs,1
Denver,Cleveland,1
Denver,Dean Reynolds,1
Denver,Denver,9
Denver,Jeffrey Toobin,2
Denver,Minnesota,1
Denver,New Jersey,1
Denver,New York,1
Denver,Oklahoma,1
Denver,Super Bowl,1
Denver,Terry Nichols,2
Denver,Thành phố Oklahoma,3
Denver,Tom Foreman,2
Denver,phiên tòa Denver,1
Denver Broncos,Denver Broncos,1
Denver Broncos,San Diego,1
Denzil,Denzil,1
Department of Home Affairs,Châu Âu,1
Department of Home Affairs,Trung Đông,1
Department of Politics Academy,Phòng Giáo dục Học viện Chính trị,1
Derek,Bob,1
Derek,Derek,1
Design Council,Anh,1
Design Council,Hội,1
Desmond Wai,Desmond Wai,1
Detroit,Bulls,1
Detroit,Bắc Mỹ,2
Detroit,Detroit,3
Detroit,Michael Jordan,1
Devon,Devon,1
Devon,nông thôn vùng Devon,1
Diana,Diana,1
Diana,Quỹ Tưởng niệm xứ Wales,1
Diane,Diane,1
Diane Sawyer,Diane Sawyer,1
Diane Sawyer,New York,1
Dianna Hope,Dianna Hope,1
Dick,Dick,1
Dick,Richard,1
Dick Rutan,Dave Melton,2
Dick Rutan,Dick Rutan,4
Dick Rutan,New Mexico,1
Dick Wilson,British Columbia,1
Dick Wilson,Dick Wilson,1
Dick Wilson,Vancouver,1
Dickens,Dickens,1
Dien Bien,Hà Nội,1
Dien Huu,Diên Hựu,1
Digital,Compaq,1
Dilley,Dilley,1
Diogenes,Alexander,2
Diogenes,Diogenes,3
Diogenes,Hy Lạp,1
Disneyland,Disneyland,3
Disneyland,khu Disneyland,1
Disneyland,trường Universal,1
Djibouti,Djibouti,1
Djibouti,Pháp,1
Dobbs,Dobbs,1
Doha,APEC,1
Doha,Doha,1
Don,Anh,1
Don,Jim,1
Don,Jordan,1
Don,Jun,1
Don,Trung Quốc,1
Don Giovanni,Mozart,1
Don Juan,Don Juan,1
Don Juan,Gluck,1
Don Juan,Phục Hưng,1
Don Knapp,Don Knapp,2
Don Knapp,Lake Tahoe,1
Don Knapp,Phía nam Lake Tahoe,1
Don Sutton,Don Sutton,1
Dong Giang,tỉnh Quảng Nam,1
Dong Giang,Đông Giang,1
Donglaishun,Brown,1
Donglaishun,Smith,1
Donglaishun,Vương Phủ Tỉnh,1
Donglaishun,Đông Lai Thuận,1
Donna Shalala,Cục Sức khỏe,1
Donna Shalala,Donna Shalala,1
Donna Shalala,Seed,2
Donna Shalala,Thuốc,1
Doug,Doug,1
Dover,Calais,2
Dover,Dover,3
Dover,châu Âu,1
Dover,cảng Dover,1
Dover,nước Anh,1
Dover,đường Dover,1
Dover,đất Pháp,1
Dow Jones Industrials,Dow Jones,2
Draco,Draco,1
Draco,Phi Mã,1
Draco,Thiên Long,1
Draco,Tiểu Hùng Tinh,1
Draco,Ursa Major,1
Draco,Ursa Minor,1
Draco,Đại Hùng Tinh,1
Draco,Đại Khuyển,1
Dramatic Society,Hội sân khấu sẽ diễn Hamlet,1
Drescher,Canada,1
Drescher,Drescher,3
